eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,eplenmean,eprewmean
336.98,18.73,2254,0.013546581,0.1587321,2.1455545,-0.015239664,0.24746992,0.916292652,176,45056,1295.575463,2883584,336.98,18.73
352.89,19.88,2277,0.01307975,0.1543986,2.144418,-0.013595738,0.25541493,0.917042799,177,45312,1302.770689,2899968,352.89,19.88
353.41,20.96,2222,0.012987652,0.16798909,2.162041,-0.015208278,0.24045765,0.92095121,178,45568,1310.144178,2916352,353.41,20.96
347.42,19.08,2242,0.014508634,0.1694336,2.1624076,-0.015587438,0.24060385,0.937110282,179,45824,1317.452585,2932736,347.42,19.08
349.4,18.3,2254,0.013658901,0.16495769,2.1458442,-0.009962821,0.2999518,0.901589595,180,46080,1324.720343,2949120,349.4,18.3
357.98,19.46,2209,0.016103258,0.18353271,2.159234,-0.017895488,0.19940563,0.948284231,181,46336,1332.137847,2965504,357.98,19.46
314.7,17.13,2282,0.01298098,0.1576945,2.1420882,-0.012686349,0.28783903,0.939934976,182,46592,1339.318326,2981888,314.7,17.13
315.13,18.19,2274,0.014141186,0.16392009,2.1371825,-0.011837244,0.21430422,0.932497188,183,46848,1346.522241,2998272,315.13,18.19
353.34,21.45,2169,0.01574654,0.19354248,2.1146252,-0.016068818,0.19307971,0.934093677,184,47104,1354.073992,3014656,353.34,21.45
370.79,22.7,2235,0.013795381,0.16705322,2.1319268,-0.017762516,0.1319747,0.958062202,185,47360,1361.404034,3031040,370.79,22.7
360.41,20.81,2213,0.015644936,0.18359375,2.138011,-0.01512172,0.1857376,0.947711043,186,47616,1368.805164,3047424,360.41,20.81
357.68,20.08,2279,0.015527933,0.18432617,2.1276639,-0.017041583,0.20248203,0.93904658,187,47872,1375.992644,3063808,357.68,20.08
